District-Name,District-Logo,District-URL,District-Twitter,District-Facebook,District-Phone,Superintendent-Name,Superintendent-Email,CivilRights-URL,CivilRights-Contact,CivilRights-Email,HIB-URL,HIB-Form,HIB-Contact,HIB-Email,Board-URL,School-Table,Name (from School-Table),School-Specific-URL (from School-Table),Documents,Last Modified,Last Modified By,Letters,Letters 2,Incident-Table,Incident-Reports-URL,Query-String,Add-HTML,All-District-Incidents-URL,District-Details-URL,District-Record-ID,District-Details-Page-URL
Bainbridge School District,bainbridge-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/AoZIARL5ks91hlYQ1ggxyg/eAkJ7PEgC5h4thbQST64Lb8vxCsYNlUbzNEDwXPYyUlzVBeb3ZRJnDVdcAEfv2CBIaopufdhYYjhOtLUDQ_HBitvgccyDcpdasoT2uYflfxII7WVkoA7V4ASGe_FEFJS8vznuMZ8n_XWL5VIcq1RISiROWfDGVuJ-70qB0Ev4nDb49etrhtNUficJsAlZCRD/QGbuYHhC6vIw6r7zMBh3-WGwVQDAP53dETEqAxdH0tE),https://www.bisd303.org/,,https://www.facebook.com/bisd303,(206) 780-1050,Amii Thompson ,athompson@bisd303.org,https://www.bisd303.org/Domain/1230,Kristen Haizlip,khaizlip@bisd303.org ,https://www.bisd303.org/Domain/1323,https://www.bisd303.org/cms/lib/WA01001636/Centricity/Domain/1323/Policy%203207%20Reporting%20Form%2012.12.2023.pdf,Kristen Haizlip ,khaizlip@bisd303.org,https://www.bisd303.org/domain/44,,,,,6/5/2024 9:53am,Josh Herst,Unnamed record,1,,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Bainbridge%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Bainbridge%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recx0ZC8kwz2ZdWlS,https://www.stophateinschools.org/school-district-details?recordId=recx0ZC8kwz2ZdWlS
Bellevue School District,bellevue-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/KJU1zEW3_b3lO1Eggzx9nQ/JblBac-QxUmzSJclPnwBDVk5otbwqp9fi8NhemHwo8bhn4k1R8rMs0VoKBeRhjUjBXnFn7I-XF-vAwDJ1YF4NhG1jKDfMBzQPvOZgt1T5aJC1WxQnlpAeBnaj1Kl1D_dGLNUhdY0tW3giR0fRQp5UCg2OVIFftkv37uW1sUdwrE/dtNY3NFDvQmb9VwnVpbfLIJPfSp82vs91BsjkYiVcOA),https://bsd405.org/,https://twitter.com/thebsd405,https://www.facebook.com/bsd405,(425) 456-4000,Dr. Kelly Aramaki,superintendent@bsd405.org,https://bsd405.org/about/resources/notices/discrimination/,Nancy Pham,phamn@bsd405.org,https://bsd405.org/about/initiatives/bullying-prevention/have-questions-about-hib/,https://bsd405.org/wp-content/pdf/policy/3207P%20Exh.%20B.pdf,Nancy Pham,phamn@bsd405.org,https://bsd405.org/about/school-board/,"Chinook Middle School,Eastgate Elementary School,Highland Middle School,Interlake High School,Newport High School,Puesta del Sol Elementary,Sammammish High School,Tillicum Middle School","Chinook Middle School, Eastgate Elementary School, Highland Middle School, Interlake High School, Newport High School, Puesta del Sol Elementary, Sammammish High School, Tillicum Middle School","https://www.stophateinschools.org/school-details?recordId=recaOE9NjgVh3LR7l, https://www.stophateinschools.org/school-details?recordId=recBwnbJKRvZ9cp8k, https://www.stophateinschools.org/school-details?recordId=recBaf2YeHVP1Qzmx, https://www.stophateinschools.org/school-details?recordId=reccp2ux4Le6N8xXg, https://www.stophateinschools.org/school-details?recordId=recDV7S2kq2VEHQLP, https://www.stophateinschools.org/school-details?recordId=rec6NToyXlFKuj0fP, https://www.stophateinschools.org/school-details?recordId=recQVJxwoRNiplYwF, https://www.stophateinschools.org/school-details?recordId=recWjF3sw5dEpwRAI",2024Apr19-StandWithUs-Letter-to-Bellevue-School-District.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/eF7taOlUy403JFKEwncc5g/BayVRjuPDDIYw8MXCL32I9uvnaro8xNEgXUtCVIBd-3ly1TnyvZE4dwSB_Y277g9JKzbFxrgGhCi9CJZbL6XrcExNO4ISRyxiiPct6Pw4JEkLqfz_9RIVxiNqwvO_TtPKLe0npnK1_X6nd9z8mGECB8BUCS8N0P-2bDSce6yV_cfayna3TG7FIzSnefSGnMwtycXXzPPIVNWwdWZcJsjRAeuDn1NMQ-O1K6vhiOdBv8/OJELHEhoIj-KidARcTt3YolAyd0G86UV7MYcQsMNGpA),6/10/2024 10:21am,Our Team,,6,"77,66,56,55,52,47,43,36,31,27,26,19,17,11,99,100,101,102",https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Bellevue%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Bellevue%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recZATfYVOh4aiYTB,https://www.stophateinschools.org/school-district-details?recordId=recZATfYVOh4aiYTB
Clover Park School District,clover-park-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/icHTNOfFldztBePXpGv9DA/c4i1f_M1MhOhXuuwB5dKuP6jAupqJK8RfCfM1RAcJ2smJH4ZCQQ2B--0hMxuh5IhHJAqIvQRGRl1oMCvpIndiKHPATSbs_LxvTuFk2ikal6hZsvZqRmw8noImIRtoPWRJ0RiF3JrSzIms78ujc0VIm_bhsgliOHGNbbaee3XWjm81KtuacasY1C-BO30KMbI/kIRmhOKNh-Wev5TE1yMRDsIHM_M_9Jaia2pjS4aFWMA),https://www.cloverpark.k12.wa.us/,https://twitter.com/CloverParkSD,https://www.facebook.com/cloverparksd/,(253) 583-5000,Ron Banner,supt@cloverpark.k12.wa.us,https://www.cloverpark.k12.wa.us/cms/One.aspx?portalId=236158&pageId=23540893,Greg Davis,,https://www.cloverpark.k12.wa.us/cms/one.aspx?portalId=236158&pageId=23545788,,,,https://www.cloverpark.k12.wa.us/cms/one.aspx?pageId=23529416,Harrison Preparatory School,Harrison Preparatory School,https://www.stophateinschools.org/school-details?recordId=reca5dmFMoiTPo0KA,,5/30/2024 9:04am,Our Team,,8,28,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Clover%20Park%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Clover%20Park%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recZH8zzd7Jz9mjIb,https://www.stophateinschools.org/school-district-details?recordId=recZH8zzd7Jz9mjIb
Edmonds School District,edmonds-school-district.png (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/nf86vQXeCvA9bPxkicxRnQ/DOVH3sqPf9FGoBijZ2gwPLd7Px5WwT4Q__9xd391fh10LTTb98iP6SZYrAmoxxopXGMj3BAqbpd-TxO0kuxoDT6-zIyYnd3GA0YAtbnG6bCwqAdcir9yqfyusyYGQvix_LS19BPaGjOpnuMobH9tLtmuvq17xgw_9ijcYBvz31h6wUTpCsCckntI3dYIK4-j/K0rw6hfKPF3ggpCFXe0KpLWQaciwAsDd1sOU-QdRu6M),https://www.edmonds.wednet.edu/,https://twitter.com/EdmondsSchools/,https://www.facebook.com/EdmondsSchools/,(425) 431-7000,Dr. Rebecca Miner,minerr@edmonds.wednet.edu,https://www.edmonds.wednet.edu/our-district/departments/human-resources-payroll-benefits/nondiscrimination-policy,Dana Geaslen,geaslend338@edmonds.wednet.edu,https://www.edmonds.wednet.edu/our-district/district-information-reports/frequently-requested-forms/harassment-intimidation-and-bullying-reporting,https://resources.finalsite.net/images/v1664471333/edmondswednetedu/z26rtnjljxoybqlihchl/HIBIncidentReportingForm-REV9292022v2.pdf,Rob Baumgartner,baumgartnerr@edmonds.wednet.edu,https://www.edmonds.wednet.edu/our-district/school-board,,,,,5/30/2024 9:04am,Our Team,,9,,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Edmonds%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Edmonds%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,rec1g3Sg9sgJxTLSl,https://www.stophateinschools.org/school-district-details?recordId=rec1g3Sg9sgJxTLSl
Everett Public Schools,everett-public-schools.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/zKHejX5R2UtumbEQtCpIMQ/VLQGfBNmqaFD3X5y9hgjjo6BrRH2VmM0lW7p0sov7SfwpVXUPe6zXiuLSgZMpg7NACy7OLmX0iaj2mfl-dcYE5aA80YC8yO7A2gPTl1Ew7RcEjZ430Tw-TlagHwQ7eShRjiE-amWhbOr89Ufap4x3tzdyhvBAsHwJQskjEV86VTC1rdNBt_4kAsyFY6fShks/LijMMwg2Su0ORZU1-sADsLA2gvXvnORJkb-ZOrQ3lpU),https://www.everettsd.org/,https://twitter.com/everettschools,https://www.facebook.com/EverettPublicSchools.WA/,(425) 385-4000,Dr. Ian Saltzman,,,,,https://www.everettsd.org/domain/1487,https://docushare.everett.k12.wa.us/docushare/dsweb/Get/Document-46804/3204P%20FORM%20Prohibition%20of%20Harassment%2c%20Intimidation%20and%20Bullying.pdf,Dani Mundell,dmundell2@everettsd.org,https://www.everettsd.org/domain/1444,Gateway Middle School,Gateway Middle School,https://www.stophateinschools.org/school-details?recordId=recgZKAtC5T3nZVnb,,5/30/2024 9:04am,Our Team,,10,29,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Everett%20Public%20Schools,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Everett%20Public%20Schools,https://www.stophateinschools.org/school-district-details?recordId=,recLOE2hmzRRxSuEB,https://www.stophateinschools.org/school-district-details?recordId=recLOE2hmzRRxSuEB
Federal Way Public Schools,federal-way-public-schools.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/VJfdLo-MCS0ztZiKB6klvA/kzf3EuDZAwYGT2OZ-JU4YcmySFxfsdxNCigRKU40CMNYtie8YzUXJ9WIcT-PMivVpEyQ8PhA4rUv0OZMQAYNHmIHVvr8KEpVjSpVUMo_l7nAMdwlvv7q2qmxr0TIeL0iClQXDCsXE40MNPmtIUMC-1F4Aqme0hRozW8jvTvsTG809kz5Dcr_pNXme8gc7Jtm/nGzc1Kz4WKFmKuxCYkijnxVE7x__B3XMMyHrkW9HYLA),https://www.fwps.org/,https://twitter.com/FWPS210,https://www.facebook.com/fwps210/,(253) 945-2000,Dr. Dani Pfeiffer,%20superintendent@fwps.org,https://www.fwps.org/non-discrimination,,compliance@fwps.org,https://www.fwps.org/departments/office-of-equity/harassment-intimidation-and-bullying-hib,,,hib@fwps.org,https://www.fwps.org/about-us/school-board,,,,,5/30/2024 9:04am,Our Team,,11,,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Federal%20Way%20Public%20Schools,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Federal%20Way%20Public%20Schools,https://www.stophateinschools.org/school-district-details?recordId=,recErgvrajqfFyj1x,https://www.stophateinschools.org/school-district-details?recordId=recErgvrajqfFyj1x
Highline School District,highline-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/TwftxrCBbJaLzT9mGM2-tg/fWrkGp27GTKQNKCIpOhxlx3PVj_swaUDWXpx7XHIegroHYEeADn2y4w0LQVkYOg5BKz0nP8mXN0le10_krlBiBi-UDphprGgZbhyXnTA_88NZYfschiPGrnmYEIrxfs5jvcRSmX2wuGaY-kNqf9NgmHDcHLT0q2vCUsPLlfMCbdRAG6rCYaWaKzdLaejUR3_/3Xx5Er0TJhGr0bXCE2d8DJWfgXttz9PYz0Em9pSW2ZY),https://www.highlineschools.org/,,https://www.facebook.com/highlineschools,(206) 631-3000,Dr. Ivan Duran,ivan.duran@highlineschools.org,https://www.highlineschools.org/departments/student-support/bullying-civil-rights-sexual-harrassment,Isuzu Niizuma ,civilrightscoordinator@highlineschools.org,https://www.highlineschools.org/departments/student-support/bullying-civil-rights-sexual-harrassment,,Isuzu Niizuma,isuzu.niizumaarambula@highlineschools.org,https://www.highlineschools.org/about/school-board,Evergreen High School,Evergreen High School,https://www.stophateinschools.org/school-details?recordId=recmH1BItgkNVRlYq,,5/30/2024 9:04am,Our Team,,12,46,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Highline%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Highline%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,rec73QlADsTELBJ8b,https://www.stophateinschools.org/school-district-details?recordId=rec73QlADsTELBJ8b
Issaquah School District,issaquah-school-district.jpeg (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/-mPH5KJymH8fYvmr61yMOQ/kHbkKWhA0jwvUiaL0HBcxpEMiq9vaiT-NbOddqR1SB6hRuaPtwra5WOrcBIHO5VQYN-hVs4uIv7F6B6TNrpeuLC9lrAn1uJUidr3s3VyVK1Q8Xj3cPKmzs6raiu08wiABkyy20aOuOOXLBFr0uCGS-gITkKu6OOAmjDP0ecg_OI/i1HQ5zPuMRlgF2-jBx3hoM916p9Jk9QO0HMCIDdqnVo),https://www.isd411.org/,https://twitter.com/IssaquahSchools,https://www.facebook.com/IssaquahSchools,(425) 837-7000,Ms. Heather Tow-Yick,superintendent@issaquah.wednet.edu,https://www.isd411.org/non-discrimination-statement,Noah Westerberg,WesterbergN@issaquah.wednet.edu,https://www.isd411.org/about-us/safety-and-security/hib,https://resources.finalsite.net/images/v1627058647/issaquah/rrqdbbr3yzbmf1wlwijl/3207F.pdf,,,https://www.isd411.org/about-us/school-board,"Cougar Mountain Middle School,Issaquah High School,Pine Lakes Middle School","Cougar Mountain Middle School, Issaquah High School, Pine Lakes Middle School","https://www.stophateinschools.org/school-details?recordId=recNmgWr0kYt7l9mO, https://www.stophateinschools.org/school-details?recordId=recktIsR055gos1sz, https://www.stophateinschools.org/school-details?recordId=recA2gBtYAGOl5yrK",,5/30/2024 9:04am,Our Team,,13,"45,34,33,30",https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Issaquah%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Issaquah%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recwxvHA7mAtf7O7M,https://www.stophateinschools.org/school-district-details?recordId=recwxvHA7mAtf7O7M
Kent School District,kent-school-district.jpg (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/9W4W94DmxRWSBc07-AYDuw/dnBxnvUy1wqSi2gSpZPnCTs51PFLWukxevSkHp1md26E4ttJAQLcYebDM4dr-RBelhO70c6o5M9UlwdjTEhcJEH55fDQp4XtHzgXjCLReZuOvIbhXzRXif9pwqGiF8031FA7Re64AB3Vtzl6uCbAN0LW5sjmDdrGlZddYT_NXcM/MllaKMv4LBczoAU_6EqUhszO43P_FMjYMf3NyLz48J0),https://www.kent.k12.wa.us/,https://twitter.com/kentschools415,https://www.facebook.com/KentSchools415/,(253) 373-7000,Mr. Israel Vela ,Israel.Vela@kent.k12.wa.us,https://www.kent.k12.wa.us/Page/12648,,,https://www.kent.k12.wa.us/Page/10304,https://www.kent.k12.wa.us/cms/lib/WA49000006/Centricity/Domain/6154/HIB-ReportItForm%20Fillable_English.pdf,Susie Whitlock,Susanne.Whitlock@kent.k12.wa.us,https://www.kent.k12.wa.us/Page/3745,,,,,5/30/2024 9:04am,Our Team,,14,,https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Kent%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Kent%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recmaPJ2XssU604zx,https://www.stophateinschools.org/school-district-details?recordId=recmaPJ2XssU604zx
Lake Washington School District,lake-washington-school-district.png (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/m-4NE5-snFMwoS1olPSlHA/YPvV_ASAHgTNq2_BuDJyHclo-oOLbbULWciCtMu64tTJYSo8t5kyTmgzL9sWmLplBcsUaxobTx44gVIFtXhgKiG3iKrBRMgNCtubYu5bN8A8bMF-efaeAXg6MxWFhJbg60wwmIhoolehx_4gWJkI3mflAiuLmBZRY-6RK8xmuvw/PkuI5ZfTIFyjmhTQvwNXyUwwP1dLr4Uuexb0eE27e8w),https://lwsd.org,https://twitter.com/LakeWashSchools,https://www.facebook.com/LakeWashingtonSchools,(425) 936-1257,Dr. Jon Holmen,superintendent@lwsd.org ,https://go.boarddocs.com/wa/lwsd/Board.nsf/goto?open&id=CH52K70283CD,,civilrights@lwsd.org,https://www.lwsd.org/programs-and-services/student-services/preventing-bulling-and-harassment-a-guide-for-parents,https://go.boarddocs.com/wa/lwsd/Board.nsf/files/BT3PWF66991B/$file/3207F%20-%20Reporting%20Form%20Prohibition%20Harassment.pdf,,,https://www.lwsd.org/board/about-the-board,"Eastlake High School,Lake Washington High School,Margaret Mead Elementary School,Redmond High School,Finn Hill Middle School","Eastlake High School, Lake Washington High School, Margaret Mead Elementary School, Redmond High School, Finn Hill Middle School","https://www.stophateinschools.org/school-details?recordId=recmZ0zTjiXTu3Zuz, https://www.stophateinschools.org/school-details?recordId=reccvaZCjcgq669jE, https://www.stophateinschools.org/school-details?recordId=recIswKgB4UffPpQ8, https://www.stophateinschools.org/school-details?recordId=recawDuCW5py4Gb1E, https://www.stophateinschools.org/school-details?recordId=recI2USdouFcK0GhF",2024Apr24-Lake-Washington-School-District-Letter.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/nkaf-B8W7FWo0CWI4z_6xg/jbkMfwD8m-0l_GsVfsAhnY2pOMSyX8iyAr_OUGNWUBNj6tsvZ4SqEOD-9htDJgz-QhqIfmVMyq5ZQwYB2uaQ1y-i3rJUCNiGseJJCbhiXtdDMd94i3HaJh67lKepUf6WOFRSidGbJ3q8jbZ6RCxLpiXl5Z2QiFcL2UzHz2Bs1079SMgE4pe1hiaaN0ZhCgK1yp6sIFG1hVvtlTbbimR0Ug/vuLs-ZsWvMuXoNmK6NKcg8JjRkZRn45mpdboL2rC2Jk),5/30/2024 9:04am,Our Team,,15,"50,49,41,5,1,92,93",https://www.stophateinschools.org/washington-state-recent-incidents,?filter-by-District=,Lake%20Washington%20School%20District,https://www.stophateinschools.org/washington-state-recent-incidents?filter-by-District=Lake%20Washington%20School%20District,https://www.stophateinschools.org/school-district-details?recordId=,recOJSTw52MQ3miHN,https://www.stophateinschools.org/school-district-details?recordId=recOJSTw52MQ3miHN
