ID#,Year,Month,Day,Year-Month-Day,School,District,Incident-Type,Incident-Description,Supporting-Materials,School-Response,Media-Coverage,Social-Media-Post,Other-Related,Reported-School,Reported-Police,Source(s),Incident-Notes,Hidden,Created By,Last Modified By,Last Modified
94,2024,05,null,2024 - 05 -  null,Chief Sealth,Seattle Public Schools,Published Materials (Print or Online),"A display in a school hallway falsely described a ""genocide"" of Palestinians. The display was put up by a teacher who was put on administrative leave, mid-April, following the teacher's public comments that the Oct. 7 Hamas attack on Israel was justified. The display was taken down by the school, mid-May, after parents reported the the display to the school.",2024May-ChiefSealthHS-HallwayDisplay.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/uTf56esq_vl4fqufeQqaww/TDkfkATtrAtr4PzNyOCkm4zqcR8McJAMAq7nKBxb_bpqTmxe18aJeQ5sCQmJanaifn3KHYzjjNRkDyvW80l8l9NlIAa-VHMpthHFucXRbbcoI71y5G91jzeMCQIUpgI1Q-g4x9pFhG5wHAZvA4hN3THsmHQQ9ttBqLdV9xUT_uv18IevgfPZCTnC35tL8gl6/tyCtopkBqDDdCl1NcdLSLrZeyVp7bHv_iYcVPTPdKtY),,,,,Yes,,Other,,,Our Team,Our Team,5/24/2024 9:06pm
97,2024,05,22,2024 - 05 -  22,Mercer Island High School,Mercer Island School District,Graffiti or Vandalism,Antisemitic graffiti in bathroom.,2024May22-MercerIslandHS-Superintendent-Letter.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/TbCp1ryw11hOrmaM8_FyZg/R1mExYnqXx5hNcFPNHfrBQWMje0Zi7DSVPnSP7B3ZOR8lNHliI5VutHkB2tdT2cqrCAnGMeMFOS-7r9Thnho3oq8Qaesk0ColvWSqT_XEpvg3euDa0z6-zi8UC_u4ZtdU21t5Lx_ZjQCx8hKRBzlkzxpa-wFnq4lww7snqMG9gL0veIqSI3F9pXo4ZQCjD3UT3Pifw685D0JccKlzsRtJA/-UjkSN-03V4lHhVYKKJ1Ba62zjk1KqR7BHlOMTEPTxE),,,,,Yes,,Other,,,Our Team,Our Team,5/29/2024 4:10pm
93,2024,05,16,2024 - 05 -  16,Finn Hill Middle School,Lake Washington School District,Bullying or Harassment,"A group of students surrounded a Jewish student, calling the Jewish student a ""Dirty Jew"" and ""Kike."" One of the students punched and kicked the Jewish student.",,,,,,,,Website,,,Josh Herst,Josh Herst,5/24/2024 2:27pm
88,2024,05,07,2024 - 05 -  07,Kellogg Middle School,Shoreline Public Schools,Erasure or Silencing,"A Jewish student reported a group of students discussing Judaism and describing it as ""a copy cat religion that copied from Christianity and the Muslim religion with nothing original"" and that was ""only around because of Jesus Christ.""",,,,,,,,Website,,,Josh Herst,Josh Herst,5/21/2024 2:45pm
81,2024,05,06,2024 - 05 -  06,Kellogg Middle School,Shoreline Public Schools,"Published Materials (Print or Online),Erasure or Silencing","In the midst of Jewish American Heritage Month, the school displayed a poster listing Middle East countries where Arabic is spoken. Arabic is spoken in Israel but was not included on the list. The poster was put up in the hallway on or around April 30th, perhaps in association with Arab American Heritage Month.",2024May-Kellogg-Middle-School.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/ttyisVOpD_J8SmJsYhfv1g/Bbq4W805A6Ek_MOS12KkrtGrG19tdRqIfJfmFXYdMm6YvT8nZ2guVuZGOEkCLRWwzUxDvt6C0nvxs4sy6Z6pAFKMbwt0ULHc1P7xEgOnvMvOaSg-jZeIO5eYSHwOu5vmujMk1roSdkFNVPztHQSgzTIL3I4IixC94beFvErmkxAI9awBXUPm9ftOeEIuAW0o/TaZZKr-VJrmEgQLZ5Fjahv9ZPJxB05DP_SuCt-Vz8Ug),,,https://twitter.com/thehoffather/status/1787676937378464202,,Yes,,"Parent-Reported,Website",,,Our Team,Our Team,5/16/2024 2:01pm
101,2024,05,03,2024 - 05 -  03,Highland Middle School,Bellevue School District,Published Materials (Print or Online),"In the school's computer lab, the background on at least one computer was set to display multiple images of Adolf Hitler doing a ""seig heil"" salute with swastikas behind him.",2024May3-HighlandMS-PC-Wallpaper.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/4nV965ooHRflyYbzHejN0g/Ln3MzJhLFiSf5fYfnOdKXz15DwAv7WTyrAXuzR9wUHkoIgZOhv6bv8qiwCE3cNbAFWSQZBBupsoBrC2ItGFWVHO9VLOhabuVtkjdQ06khQKh5fedSEgNKX88qwc3SsPQvmIDNApzV4gNB5oW1HSQvlVprCKx0m1GkdZweaIIm8kxGcMMDAxACZ6GhGAemxmb/hNBwKidp1SdEXsZVr1oR9Citqm0qYunlQMpJ4c2mveI),,,,,Yes,,Website,,,Josh Herst,Our Team,6/10/2024 10:36am
80,2024,05,02,2024 - 05 -  02,Woodinville High School,Northshore School District,Published Materials (Print or Online),"A hallway display of student work about modern genocides in an Ethnic Studies class included a presentation that falsely describes a ""Palestinian Genocide"" as ""1947-Ongoing"" and describes Hamas a a group Israelis ""consider to be terrorists."" Follow up, per the Assistant Principal, the display was taken down and the issue was addressed with the teacher and the student.",2024May2-WoodinvilleHS-Hallway-Display.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/x7Rawn8DW8mVMgWWWf3f8A/Tk9fCirc2fO7dV__VL94hW4F9L5AaiaebD12tQFj5RQv5N7Z-U3mwADcxvUFKNhHeJ5vCgXOdBhmNxlwmB5RjaGbzLJqLsTI_ITPjX2xdOXAzvfa24_AmV0QaC5NYzg3WwI4Zl1TwHhuvPIFuujCKYeHK6_hdcRIrk1Uzm50meF-ASWYCVqTnM3F9gFU6WkUnyXQIpPoWNOXE7aIqMzbVg/tD7kAJLre1pS1Q9jUxGeU7pvizLIQlG0_35ZDoRBD2w),,,,,Yes,,JFS,,,Our Team,Our Team,5/16/2024 3:39pm
100,2024,04,null,2024 - 04 -  null,Sammammish High School,Bellevue School District,Demonstration or Other Event,"Coordinated walkouts at Newport, Bellevue, and Sammamish high schools. At Sammamish High School, flyers featuring Samidoun and Super UW logos were posted around the school, promoting the walkout and containing anti-Israel and antisemitic blood libels and propaganda, including advocating for the elimination of the State of Israel. An outdoor display on school property featured a Palestinian flag with signs and glorifying the “martyrs.” The display was featured as a “story” on the Sammamish High School ASB Instagram page. Questions to the district about whether Jewish students at Sammamish High School could make a similarly-sized on-campus vigil with a large Israeli flag, posters and messages for the hostages and victims of the 10/7 terrorist attack were unanswered.",2024Apr-SammamishHS-ASB-Instragram-Story.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/5JhrkMGX4je-rm_bpwbkpQ/BCKMaV9t5XP2EHmTycAhHn1dMsyDvB2Tqf5M8E_Ayr8R7lTG0fDmTRsUnaGTedE56wZDy1dq8EhxR0yE_ikthuwKVkI6qLMIFPZ-SKaFTKMP-148Fxsj963zjJztwihev8gDbVJGEWhoCPZQAc_F48jtG_9xYDfPzgRrGxFaUsMdQZmPgLFdmqws3jEMlTROusUICYT7oeUhATDaVXKmxA/-_-uVLu1SylW_WUi25eKm8z4ASlWW53kPaMsIdoeByE),,https://mynorthwest.com/3958165/rantz-seattle-area-students-stage-hate-rally-tuesday-antisemitism-campus-surges/,,,Yes,,Website,,,Josh Herst,Our Team,6/9/2024 9:25pm
82,2024,04,26,2024 - 04 -  26,Ballard High School,Seattle Public Schools,Erasure or Silencing,"A Palestinian flag (along with Ukrainian, Mexican, and Somalian flags) was displayed during a multicultural day event. Israel was not represented.",2024April26-BallardHS.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/Izj1ACUwrNBxNZKIAq79jA/3tA_X9mqsyC-sPYZMVw67WDiN9Gui1LdycPiQ3iHpkDkKlNKzA3glbH9jCU87NQgj0XqU_TZ4zFolTJ1RfdL7RU1fNaTEVhwPU6QOZLoGT7qopJwFivexRMfvLgayzsd4fLKRar5jw--HHFwvh58s03bDZNo5qtmB0wRK_RlKN4/_evjeZKlGd-2x2SIfuUpSHwnv4kzUTz-tSNyJDiKRLQ),,,,,Yes,,Website,,,Our Team,Our Team,5/16/2024 1:58pm
78,2024,04,25,2024 - 04 -  25,Nathan Hale High School,Seattle Public Schools,Graffiti or Vandalism,"Graffiti on the wall of a student bathroom with ""Free Palestine"" and a swastika.","2024Apr25-NathanHale-Graffiti.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/z9BaVpHHRrf8vEkOC3VBPw/I118_qWvnaMvwvbFCLfKW-zskUovFpat-AkzSzJOlHt1QPkjM7oBtxddiaPx2eACeA4c77WeuV-K1kf8WzewyyW9_tavpD4Bvi8QEsv3pi4QG53IekTU99-gvfFfWtK-enU2TS9z2oTEJO--4ngC5ZFsBwl06-3E4ElAmxWj0WoOuMEGxAwLQIBsIHK7cI4h/R4DgDuecH0Lg705hrp10ybARMCVHSAAP829NuV4a5Ws),2024Apr25-NathanHale-Graffiti-After-Cleaning.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1723860000000/W3vOX-a57nvdM6KI70ndag/RS_Wnq84FudTMBf2uuin7Stybm4Wsix83j2RWfzq49fidtWMM_1znJKM5gdYNzYQ4-fJYjk9jpJ9FT8Pd_jrS1sgtvdOjfMB9aV5K7XUMEg-ryC8_IeBj2x8aY9KauHbxvwHuMr3PGt0rb3tPL86NuSU73UqUzL17NIgqtDHClikGQj9_jqBnc-dj_Tdf0ieNDLV0kx_Zhvp31zMG3hRSw/wWSuci_ELil_vEjZvR5T17DeqO4YguVg7L_sfT-_Bwc)",,,,,,,Website,,,Josh Herst,Our Team,5/16/2024 2:01pm
79,2024,04,25,2024 - 04 -  25,Nathan Hale High School,Seattle Public Schools,Bullying or Harassment,"During a ""Climate Day of Action,"" speakers and teachers referenced ""war in Israel and how Israel's bombing is creating more climate damage."" No mention of any other war. One student was heard saying ""I will spit on you again, your dirty Jew"" to another student.",,,,,,,,Website,,,Josh Herst,Our Team,5/16/2024 2:01pm
90,2024,04,23,2024 - 04 -  23,Garfield High School,Seattle Public Schools,Demonstration or Other Event,"Student walk out organized by a teacher-sponsored student group called GHS for Palestine. Past events staged by this groups have included chants of “Fuck the Jews"" and encouraged participants to “not engage with Zionists.” As many Jews identify as Zionists, this can be interpreted as an injunction not to engage with Jews.",,,https://www.seattletimes.com/seattle-news/student-walkout-updates-as-wa-students-protest-israel-hamas-war/?utm_source=link&utm_medium=social#update-17227861,,,,,ADL,,,Our Team,Our Team,5/22/2024 10:30am
