Name,Website,School-Type,School-District,District,School-Level,Associated-Incidents,School-Incidents,Incident-Dates,Incident-Descriptions,Supporting-Materials (from Associated-Documents),About-School-Leadership,Positive-Steps,Description-of-Positive-Steps,Positive-Step-Source,Kudos,Have Jewish Student Club,Address,Latitude,Longitude,School-Details-URL,School-Record-ID,School-Specific-URL,Last Modified,Last Modified By,Incident-Table,Incident-Table 2
Ballard High School,https://ballardhs.seattleschools.org/,Public,Seattle,Seattle Public Schools,High,"82,83","Erasure or Silencing, School Curriculum","2024 - 04 -  26, 2023 - 10 -  30","A Palestinian flag (along with Ukrainian, Mexican, and Somalian flags) was displayed during a multicultural day event. Israel was not represented., Reading list given to students studying the Arab-Israeli conflict predominantly included biased materials from Al Jazeera and Makan, a one-sided, pro-Palestinian, UK-based group. Follow up: The school principal responded to the parent complaint and agreed that the reading list lacked objectivity and indicated that they would speak with the school's History Department to ensure that this does not happen again.","2024April26-BallardHS.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/ORYtuoiJp-FlGjb6lPU_tQ/bWCnV4p-AE1GdCKkh1_D7QHgOS5AW5RL2EycvvgnQ8JoBJEZkZ1YLMpv5PiqIjc4_SzPgmJQpMbF5KqUVyvqKhPuHhOVkJm65OaLiGXdO9sAWxC9I_V9tq7qYxSuqZwdJF6X2gcJ-bxb86LZq6Wnn4z617YHFkLm-seE0oz39lA/ECWeFVzlWTqReTJquqveZ84rX_WRXBypikGQtcNSOuI),2023Oct-BallardHS-Israel-Palestine-Conflict-Curriculum.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/4UWao2-Ex0ErNRuMoMw_ag/TTwIkQC78SCTRixuDkrUmVsHddIQrfwJ1DXhJsDAr_DXJhRNQZn_ihsllJIR2MWUNycyRSNjWATNBLmyi7pTQgv6oK-IXcewmlDodNxgBH-9Jw4gSMFWrSyjVVj2pZCx57yHKhW5d775upIvVYBkFnyHJI2N6hXOIZbjsLwHVl19hAHqOhW0T0OA4LoxFpct44IyXRGqA3HK58nCKIn_UhzCiHFQ5DNX8Lak2APuP7M/1FO4hz6HqplBgLEj_ERlQF20Z5viIyRaYWuUovqgn6g)",,,,,,,"1418 NW 65th St.
Seattle, WA 98117",47.6767452,-122.3768119,https://www.stophateinschools.org/school-details?recordId=,rec9bzEyMe9HKY9L6,https://www.stophateinschools.org/school-details?recordId=rec9bzEyMe9HKY9L6,5/24/2024 3:49pm,Our Team,,
Chief Kanim Middle School,https://ckms.svsd410.org/,Public,,Snoqualmie Valley School District,Middle,109,Bullying or Harassment,2024 - 06 -  20,"Following months of teasing and bullying by a group of students, a member of this group verbally harassed a Jewish student saying, ""this is an anti-Jewish zone.""",,,,,,,,"32627 SE Redmond-Fall City Road
Fall City WA 98024",47.57022,-121.9052601,https://www.stophateinschools.org/school-details?recordId=,recq3FFG0zxDvYHdN,https://www.stophateinschools.org/school-details?recordId=recq3FFG0zxDvYHdN,8/18/2024 5:55pm,Our Team,,
Chief Sealth,https://chiefsealthhs.seattleschools.org/,Public,Seattle,Seattle Public Schools,High,"75,94","Teacher Issue, Published Materials (Print or Online)","2023 - 12 -  null, 2024 - 05 -  null","Pro-Palestinian flyers posted in history classroom of teacher known for anti-Israel rhetoric both in the classroom and on social media. Parents and students have filed complaints with the school about the curriculum and political views communicated in this teacher's classroom., A display in a school hallway falsely described a ""genocide"" of Palestinians. The display was put up by a teacher who was put on administrative leave, mid-April, following the teacher's public comments that the Oct. 7 Hamas attack on Israel was justified. The display was taken down by the school, mid-May, after parents reported the the display to the school.","2023Dec-ChiefSealth.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/erKn0vtL4oMwCcu0wjAj7g/d0dK1EDlqaqV10wXeUfdyEaP68LUtrfmlPWstVxBS0a4MXJG5wMKR6Cw-scI4ycLvKB7r22Kuim3pgLlT3ab51RJ1z8jrnItdn5gsMcfZSbKcldrY108YeyCVWkRavJlh2eW4tQRVgBne27V4tZkh84vdPI0JuHEXHNepRRI9K0/ek06-zfBBdNO5Sk9XOXO3AWOGhMZZfaPYJiPYQDHs9k),2024May-ChiefSealthHS-HallwayDisplay.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/e5D6BhM-PQq5QzYklSXyYQ/bzmM8X1oOFca1GO6vDI4XN7sUfaKV9UVMnuPQ-aVO4njQd7FgW042tgM_vRAeP5uviD2EgHqvMxwVhIH588W2EbgpdwNz0RPYC3sFHkZM7uqc1TShh-lyNVhAKHdFE4G4XxPxH15pRqZjisEFbcV1ube7wtvB4FITmMAPk_5k-XtEkYZwNS5M3rauN2dn69e/S5xw8WGC-ovdxGP08Shza0l3tZHWAUTW3TAjwsfs_dE)",,,,,,,"2600 SW Thistle St. Seattle, WA 98126",47.5296139,-122.3659746,https://www.stophateinschools.org/school-details?recordId=,recZb0bq6U7rJVpvs,https://www.stophateinschools.org/school-details?recordId=recZb0bq6U7rJVpvs,5/24/2024 5:02pm,Our Team,,
Chinook Middle School,https://bsd405.org/chinook/,Public,Bellevue,Bellevue School District,Middle,"55,66","Bullying or Harassment, Teacher Issue","2024 - 01 -  null, 2024 - 03 -  15","A student told a 7th grade Jewish student that they hate Jews, and therefore they hate her. The incident was reported to the Assistant Principal, who told the student to apologize. Another student was talking loudly in a classroom about “gassing the Jews again.” When a Jewish student told them to stop, and got the teacher’s attention, the teacher said the offending student was “just going to back away now.” (Confirming incident date), A student made a Nazi salute toward a Jewish student with laughter/support from another student. The students called it the ""Kanye salute."" After telling the students that was not ok, the Jewish student spoke with the classroom teacher. The teacher didn't accept/acknowledge what was happening and asked the Jewish student to demonstrate the salute. The teacher then drew a swastika on the classroom whiteboard and asked the student what they saw. When the student indicated that they saw a Nazi symbol, the teacher said they saw a symbol used by many different cultures over time.",,,,,,,,"2001 98th Ave NE Bellevue, WA 98004",47.6283469,-122.2136803,https://www.stophateinschools.org/school-details?recordId=,recaOE9NjgVh3LR7l,https://www.stophateinschools.org/school-details?recordId=recaOE9NjgVh3LR7l,5/24/2024 3:49pm,Our Team,,
Cougar Mountain Middle School,https://cougarmountain.isd411.org/,Public,Issaquah,Issaquah School District,Middle,30,Bullying or Harassment,2023 - 10 -  19,School report indicates that a student sitting at a lunch table was saying “I hate Jewish people” and making the Nazi salute.,,,,,,,,"1929 NW Talus Drive Issaquah, WA 98027",47.5324487,-122.0652279,https://www.stophateinschools.org/school-details?recordId=,recNmgWr0kYt7l9mO,https://www.stophateinschools.org/school-details?recordId=recNmgWr0kYt7l9mO,5/24/2024 3:49pm,Our Team,,
Eastgate Elementary School,,Public,Bellevue,Bellevue School District,Elementary,19,Bullying or Harassment,2023 - 06 -  13,A student drew a swastika on a classmate's desk.,,,,,,,,"4255 153Rd Avenue Se, Bellevue, WA 98006",47.5699421,-122.1401398,https://www.stophateinschools.org/school-details?recordId=,recBwnbJKRvZ9cp8k,https://www.stophateinschools.org/school-details?recordId=recBwnbJKRvZ9cp8k,5/24/2024 3:49pm,Our Team,,
Eastlake High School,https://ehs.lwsd.org/,Public,Lake Washington,Lake Washington School District,High,"1,92","Graffiti or Vandalism, Demonstration or Other Event, Published Materials (Print or Online)","2010 - 12 -  null, 2024 - 04 -  23","Swastika and the word 'Jew' spray painted on a storage container., Flyer posted to promote student walkout read “our American tax dollars fund genocide. We must not remain silent” and asked students to join the rally “to stand against the imperialist war machine oiled with Palestinian blood.”",2024Apr23-EastlakeHS.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/6LYDqVYrSqLNHKjqcOJ57Q/H-10r8fBKkXVTHapY4wRIV-VpD1q7seMxfRZYlBHnTtE3ubys2CazRp1Izjh0iOUTXObZHPXF557W0PT_YE5UJkdz3hG33ydogQiZiHpjkc2iPwppCNZpQDjAtpwK_QfYD_f5c5ZrPk3SGI44ZQD9vSGbzwy89Tb7x4lz6dtlz8/S6BVpUPZfbPlhG2M_RZaUS2gomH_GBbQKUNeIsRwo-A),,,,,,,"400 228th Ave N.E., Sammamish, WA 98074",47.6135993,-122.0337155,https://www.stophateinschools.org/school-details?recordId=,recmZ0zTjiXTu3Zuz,https://www.stophateinschools.org/school-details?recordId=recmZ0zTjiXTu3Zuz,5/24/2024 3:49pm,Our Team,,
Evergreen High School,https://ehs.highlineschools.org/,Public,Highline,Highline School District,High,46,Published Materials (Print or Online),2023 - 11 -  30,"A flyer stating, ""From the River to the Sea, Palestine will be Free"" was posted at the school.",,,,,,,,"830 SW 116th Street Seattle, WA 98146",47.5004279,-122.3477782,https://www.stophateinschools.org/school-details?recordId=,recmH1BItgkNVRlYq,https://www.stophateinschools.org/school-details?recordId=recmH1BItgkNVRlYq,5/24/2024 3:49pm,Our Team,,
Finn Hill Middle School,https://fhms.lwsd.org/,Public,Lake Washington,Lake Washington School District,Middle,93,Bullying or Harassment,2024 - 05 -  16,"A group of students surrounded a Jewish student, calling the Jewish student a ""Dirty Jew"" and ""Kike."" One of the students punched and kicked the Jewish student.",,,,,,,,"8040 N.E. 132nd Street Kirkland, WA 98034",47.7199632,-122.2307826,https://www.stophateinschools.org/school-details?recordId=,recI2USdouFcK0GhF,https://www.stophateinschools.org/school-details?recordId=recI2USdouFcK0GhF,5/24/2024 3:56pm,Our Team,,
Franklin High School,https://franklinhs.seattleschools.org/,Public,Seattle,Seattle Public Schools,High,"51,69","Graffiti or Vandalism, School Curriculum","2023 - 12 -  13, 2024 - 01 -  null","End Nationalism, Intifada and Viva Palestine graffiti on the wall surrounding the soccer/football field on school property., Report by student and parents: The student had no warning that their ""gov"" class would be talking about the war in Gaza. The worksheets handed out (see attachment) included a biased and incomplete outline of historical events which perpetuates stereotypes and discriminatory points-of-view. Overall, the lesson promoted a one-sided, biased narrative. The student felt so uncomfortable in the classroom, so isolated, and so discriminated against, that the student removed themself for their mental health.",2024Mar-FranklinHS.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/90qIoGVV647jTbtZ3nuZPQ/CO6fFER1iPd_JklKrCD7vwXYicnLSF0cEa_iBR0qEvjTZzEhFoGRtykGCTHdteiLdPzr8pXix_ZPVJq5lk_byeRDK2qka29k6AP4jDAG-rLdcNahtft9IjbbDFPOOFIYCAlxIQKUCl1sEBrtjQ8ssFxVPIMY_5yoTSPjF1uEGLI/H5qnmZHHBBtP2pn_-lPohHN04eGOB_447hV3ZmjEPoo),,,,,,,"3013 S Mt Baker Blvd, Seattle, WA 98144",47.5761165,-122.2953497,https://www.stophateinschools.org/school-details?recordId=,reciGDbmbZJZVqosc,https://www.stophateinschools.org/school-details?recordId=reciGDbmbZJZVqosc,5/24/2024 3:49pm,Our Team,,
